,Unnamed: 0,id,scrape_id,name,description,host_id,host_name,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
32,32,1216475418788371601,20241221052002,Bright Cosy Room with Balcony,"Welcome to your cozy and bright private room in the heart of Friedrichshain! Enjoy your own bathroom and balcony with a peaceful view of the trees, ensuring a quiet stay despite the central location. You're minutes away from Mitte, Kreuzberg, and Prenzlauer Berg. Explore nearby grocery stores and charming cafes. Perfect for a comfortable and convenient stay in Berlin!",268520572,Phillip,f,1.0,3.0,t,t,52.52156314549018,13.444711699214391,Private room in rental unit,Private room,2,1.0,1.0,1.0,$100.00,20,4,4,20,20,4.0,20.0,,t,28,58,88,88,5,5,0,5.0,5.0,5.0,4.8,5.0,5.0,4.8,"First name and Last name: Philipp Koster <br/> Contact address: aurstrasse , 10249, Berlin, Germany <br/>Listing address: Aurstr, 10249, Berlin, Germany",f,1,0,1,0,1.44
36,36,48745871,20241221052002,Schöne Apartments zentral in Berlin 2-3 Personen,"The apartments are located in the middle of Berlin's historic center, right at Checkpoint Charlie. In a quiet side street and modernly furnished, with air conditioning, flat screen TV, safe and free Wi-Fi. All apartments are equipped with en-suite bathroom and kitchenette. A weekly cleaning is included in the price and a delicious breakfast can be booked on site for a small extra charge. City tax of 5% per person will be charged on site.",392212504,Select The Wall,f,2.0,3.0,t,t,52.507736,13.388472,Room in hotel,Private room,3,1.0,1.0,3.0,$170.00,1125,1,2,999,1125,1.0,1121.0,,t,0,0,0,0,34,0,0,4.53,4.59,4.91,4.47,4.12,4.97,4.56,"Legal entity name and Legal form: Novum Hotels Berlin GmbH  <br/>Legal representatives or Trade register number: HRB 100582 B <br/> Entity address: An der Alster 63, 20099, Hamburg, Deutschland <br/>Listing address: Zimmerstraße 88, 10117, Berlin, Deutschland",t,2,0,2,0,0.82
43,43,27153586,20241221052002,Ruhiges Altbau-Zimmer in Kreuzberg direkt am Park,"Large, calm and luminous room (24 square meters) with cherry tree bed for rent in 3-bedroom old building apartment.",23053909,Christiane,t,1.0,1.0,t,t,52.49632,13.38101,Private room in rental unit,Private room,1,1.0,1.0,1.0,$50.00,1125,1,2,1125,1125,2.0,1125.0,,t,1,7,11,71,77,22,2,4.92,4.91,4.78,4.97,4.99,4.96,4.84,02/Z/AZ/019074-24,f,1,0,1,0,1.07
44,44,792795513324956525,20241221052002,Zimmer in Moabit mit Loggia,Enjoy your Berlin stay at this well equipped and centrally located accommodation (e.g. 9min. Walking distance + 8min. Take the M10 to Central Station)! <br /> <br />Want to enjoy your hot drink in the morning sun on the loggia or focus on the large dining table to work and dine at the large dining table? After a long day of shopping quickly and then enjoy a warm shower? Then you will certainly feel comfortable here!,13176887,Rebecca,t,1.0,1.0,t,t,52.5298428,13.3358041,Private room in rental unit,Private room,2,1.0,1.0,1.0,$56.00,30,1,30,30,30,2.5,30.0,,t,3,3,3,3,38,22,1,4.97,4.95,4.95,4.97,5.0,4.79,4.92,01/Z/AZ/014915-22,f,1,0,1,0,1.71
47,47,13704364,20241221052002,"Zimmer (fast) in Schöneberg, ruhig und zentral","My place is close to the bars and pubs. You'll love them because of the location and the old-building flair (retro). She is good for couples, solo travelers, people with a dog, individualists and culture lovers. Close to two subway stations and also two bus stops. You can sleep peacefully because the room goes to the yard and the yard is quiet.  No apartment for absolute perfectionists. I speak English and French language. PlZ: 10785.",79000226,Sabine,t,3.0,3.0,t,t,52.50213,13.3571,Private room in rental unit,Private room,1,1.0,1.0,1.0,$50.00,77,14,14,77,77,14.0,77.0,,t,29,59,89,89,36,8,0,4.75,4.94,4.72,4.78,4.89,4.83,4.78,01/Z/AZ/013037-21,f,1,0,1,0,0.35
48,48,18135283,20241221052002,Room in Shared appartment in Friedenau,"I live in the district of Friedenau with my Polish and Welsh roomates. This flat is an awesome place because of the nice atmosphere we have here. We enjoy eating together, watching films and a casual beer<br /><br />My room is 25 square metres with additional balcony. Good working environment due to a nice Sofa, computer desk and lots of natural light.<br /><br />I also own a bike that I can lend if someone is interested, as well as a lot of GYM equipment, in case you want to workout a little bit while in Berlin :)",60720329,Gabriel,f,1.0,1.0,t,t,52.46993,13.34266,Private room in rental unit,Private room,1,,,,,1125,92,92,1125,1125,92.0,1125.0,,t,0,0,0,0,3,0,0,5.0,5.0,5.0,5.0,5.0,4.67,5.0,,f,1,0,1,0,0.03
49,49,15531727,20241221052002,Bright cosy room in Friedrichshain,"My place is close to the Berghain, Boxhagener Platz and Ostbahnhof.<br /><br />The apartment itself is very lighted, modernly renovated and well appointed. We have a super equipped cuisine. 5 minutes walk from Karl Marx Allee and the Berghain, an S-Bahn station to Warschauer Straße and the Boxikiez with tons of great restaurants and bars",15850420,David,f,2.0,2.0,t,t,52.51134,13.43764,Private room in rental unit,Private room,2,,,,,1125,92,92,1125,1125,92.0,1125.0,,t,0,0,0,0,0,0,0,,,,,,,,,f,2,0,2,0,
51,51,19966464,20241221052002,"Beau trois-pièces vue sur parc, près Tempelhof","My apartment is located a five minute walk from Tempelhofer Feld (the decommissioned airport transformed into a park) and borders another park (old cemetery) with a beautiful Orthodox church. The view in nature, the brightness and the space will certainly please you.<br />This apartment is for couples and families. Children welcome!",7299364,Nicolas,f,1.0,3.0,t,t,52.47129,13.42746,Private room in rental unit,Private room,4,,2.0,,,1125,92,92,1125,1125,92.0,1125.0,,t,0,0,0,0,0,0,0,,,,,,,,,f,1,0,1,0,
57,57,44453937,20241221052002,Studio nahe Hauptbahnhof exkl. für Geschäftsleute,"The newly built, bright studio has modern and for relaxation and recreation facilities such as gym, concierge, bistro and lounge, etc., and has an magnificent view over Berlin. Apartment is separate, not shared with any other person.",4023263,Herbert,f,3.0,5.0,t,t,52.53145,13.36086,Private room in condo,Private room,1,1.0,1.0,1.0,$35.00,1000,93,93,1000,1000,93.0,1000.0,,t,10,10,10,213,3,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"First name and Last name: Irina Tröger <br/> Contact address: Walter-Linse-Str. 13a, 12203, Berlin, Deutschland <br/>Listing address: Lehrterstr. 24b, 10557, Berlin, Deutschland",f,3,2,1,0,0.1
65,65,395063,20241221052002,"großes, helles Zimmer in Altbauwohnung","My apartment is a typical Berlin old building apartment with high ceilings and wooden floorboards. Located on the first floor in the front house, it's bright and friendly. The road departs from Frankfurter Allee, but you can hardly hear the traffic. The Samariterstraße metro stop is a 3-minute walk away. In the neighborhood there are many shops, restaurants, snacks and pubs; a lively mix of Friedrichshainer.",1974695,Katharina,t,1.0,2.0,t,t,52.51586,13.46388,Private room in rental unit,Private room,1,,,,,30,3,3,30,30,3.0,30.0,,t,0,0,0,0,104,17,1,4.9,4.95,4.84,4.92,4.96,4.94,4.88,02/Z/AZ/014166-21,f,1,0,1,0,0.74
66,66,997675581097970644,20241221052002,Supreme room with en suite bath,"Central located apartment in vibrant Berlin, yet offers quietness. Nearby are hip cafes, famous restaurants and bars, and cultural sites like Heckman Höfe, Mobijou Theater, Bode Museum ... all within walking distance. <br /><br />Grocery store is a minute away, main train station 9 minutes. <br /><br />Your room (floor plan no. 4) comes with a balcony, en suite bathroom, offering a serene courtyard view. From January 2024, enjoy access to an on-site spa and gym.",427709,Lawrence,f,1.0,8.0,t,t,52.52431934741739,13.389444026629286,Private room in rental unit,Private room,1,1.0,1.0,1.0,$64.00,365,92,92,365,365,92.0,365.0,,t,29,59,89,364,0,0,0,,,,,,,,,f,1,0,1,0,
68,68,4861617,20241221052002,Zimmer im Gräfekiez 22m²,This  announcement is reserved for Ukrainian refugees.<br />There is no rent to pay.<br />Listings for refugees from Ukraine. There is no rent to pay.,23693478,Holger,f,1.0,1.0,t,t,52.49075,13.41943,Private room in rental unit,Private room,1,2.0,1.0,1.0,$50.00,1125,92,92,1125,1125,92.0,1125.0,,t,19,49,79,354,29,0,0,4.83,4.89,4.89,4.82,4.93,4.86,4.79,,f,1,0,1,0,0.24
69,69,19964747,20241221052002,Cosy room with balcony near to city centre,"The sunny 17 m² room is situated in the district of Prenzlauer Berg, just 15 min away from Alexanderplatz an the city centre by tram. Supermarkets are close to the flat and the tram station is just 3 min away on foot.<br /><br />The sunny 17m² room is located in the Berlin district of Prenzlauer Berg, only 15 minutes away from Alexanderplatz and the city center by tram. Supermarkets are in the immediate vicinity and the tram stop is only a 3-minute walk away.",17801617,Samir,t,3.0,3.0,t,t,52.55002,13.43437,Private room in rental unit,Private room,2,,,,,1125,3,3,1125,1125,3.0,1125.0,,t,0,0,0,0,112,1,0,4.81,4.84,4.76,4.89,4.91,4.68,4.75,03/Z/AZ/007269-22,t,2,0,2,0,1.24
70,70,1419206,20241221052002,Private Room near City Center,"We are renting one room in our modern 3-bedroom apartment on the northern edge of popular Prenzlauer Berg in a very quiet neighborhood adjacent to a large, open park. Walk one block to subway station ""Vinetastrasse"". <br />Lots of shops/restaurants within 1 subway stop, well-known and hip city center ""Alexanderplatz"" within 4 subway stops. <br />WiFi. Laundry. Outside Patio.",7493737,René,t,2.0,4.0,t,t,52.55823,13.40913,Private room in rental unit,Private room,1,,,,,45,5,5,45,45,5.0,45.0,,t,0,0,0,0,26,1,0,4.88,4.88,4.54,4.88,4.92,4.85,4.81,03/Z/AZ/003775-18,f,1,0,1,0,0.22
71,71,1407846,20241221052002,Welcome to our home :),,2740485,Celine & Jeremy,f,1.0,2.0,t,t,52.52354,13.37871,Private room in rental unit,Private room,2,,,,,1125,92,92,1125,1125,92.0,1125.0,,t,0,0,0,0,54,0,0,4.81,4.76,4.65,4.93,4.91,4.85,4.72,,f,1,0,1,0,0.4
79,79,42671758,20241221052002,Super clean Room in Steglitz . Very central,"I am a doctor and I am looking for a roommate for my 2 bedroom apartment.<br /><br />I work very much so I am very rarely at home<br /><br /><br />On time or by arrangement .<br /><br />The 25 sqm room is beautifully bright, with two large windows and a mocha floor.<br /><br /><br />The room is for 2 persons ,in a very central and quiet sunny area .<br /><br />2min to the Bus <br />10 min to the train station <br />10 min to the underground<br /><br />The Kitche has <br />Coffe maker <br />Cooking basics<br />Refrigerator <br />oven <br />stove",198864678,Ebtisam,f,2.0,2.0,t,t,52.44769,13.34544,Private room in rental unit,Private room,1,1.5,0.0,1.0,$30.00,1125,1,1,1125,1125,1.0,1125.0,,t,27,57,87,362,0,0,0,,,,,,,,"First name and Last name: ebtisam said <br/> Contact address: Halskestraße 3, 12167, berlin, germany <br/>Listing address: Halskestraße , 12167, berlin, germany",f,1,0,1,0,
82,82,1068808508269736172,20241221052002,Vorheriges Elternschlafzimmer D,"Everything you want to explore is right outside the door of this place. It is a spacious room with 25m2 with Wi-Fi directly on a major street and thus centrally located on traffic with trams, buses and S-Bahn. Within walking distance is also a large park. Berlin-Schönefeld Airport is only 30 minutes by train. In the room there are many storage options for lots of clothes if you want to stay longer.",4475104,David,f,4.0,6.0,t,t,52.46516481960754,13.512912778650977,Private room in bed and breakfast,Private room,1,1.5,1.0,1.0,$30.00,365,30,30,365,365,30.0,365.0,,t,0,0,0,90,1,1,0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,09/Z/AZ/001661-18,f,3,0,3,0,0.25
84,84,53139932,20241221052002,Comfort Double Room | Hotel Spree-idyll Berlin,Our beautifully designed comfort double rooms have a 1.80m king size bed with two separate mattresses. In some rooms the bed can be split into two single beds for more flexibility. One room is on the ground floor with direct access from the outside. All other rooms are on the first or second floor in the main or the second building. The double rooms in our second building offer a private terrace area.,430024205,Hotel Spree-Idyll,f,5.0,7.0,t,t,52.4485,13.60912,Room in hotel,Private room,2,1.0,0.0,1.0,$110.00,21,1,3,21,21,1.2,21.0,,t,30,60,90,365,7,3,0,5.0,4.86,5.0,5.0,4.86,4.29,4.71,"Legal entity name and Legal form: Familie Kupfer Hotelbetriebs GmbH <br/>Legal representatives or Trade register number: HRB 178098 B <br/> Entity address: Müggelseedamm 70, 12587, Berlin, Deutschland <br/>Listing address: Müggelseedamm, 70, 12587, Berlin, Deutschland",t,5,0,5,0,0.34
89,89,12334987,20241221052002,Modern Apartment in best location,You are renting a calm and cosy room with access to an own bathroom and a kitchen. The apartment is in vicinity to train and subway stations.<br /><br /><br />reg.number: 04/Z/AZ/010445-21,66576238,Angelika,t,1.0,1.0,t,t,52.50161,13.30992,Private room in rental unit,Private room,1,1.0,1.0,1.0,$70.00,14,1,2,14,14,2.0,14.0,,t,1,16,41,250,224,34,2,4.96,4.95,5.0,4.96,4.93,4.96,4.95,04/Z/AZ/010445-21,f,1,0,1,0,2.14
101,101,47791220,20241221052002,10 Minuten von Hauptbahnhof zu Fuß+Berlin Zentral,"We offer quietly situated accommodation on the 6th floor in a private bedroom with a balcony, which has a very nice view of a garden.The apartment is located  10 min away from Berlin Central Station (by foot). There are also several transport options such as bus line 245 and bus line 187 (genoa next to the apartment). Bus line 245 goes around Berlin.  <br /><br />The apartment is central and allows for the best Berlin experiences.",385197336,Hasan,t,1.0,1.0,t,t,52.52241,13.35536,Private room in rental unit,Private room,2,1.0,1.0,1.0,$70.00,30,1,1,1125,1125,1.0,1125.0,,t,19,49,79,79,50,15,0,4.86,4.82,4.66,4.86,4.84,4.84,4.78,"First name and Last name: Hasan Masri <br/> Contact address: Alt-Moabit, 10559, Berlin, Deutschland <br/>Listing address: Alt-Moabit, 10559, Berlin, Deutschland",t,1,0,1,0,1.29
103,103,9068447,20241221052002,Beautiful room in Neukölln's heart,"Neukölln is one of the liveliest, hippest areas of Berlin, with unique cafes, restaurants and stores, close to all the touristic parts of town but far enough from the big crowds. We are offering a spacious room in the heart of Neukölln.",29054247,Anna,f,2.0,3.0,t,t,52.4697,13.43734,Private room in rental unit,Private room,2,,,,,1125,92,92,1125,1125,92.0,1125.0,,t,0,0,0,0,46,0,0,4.93,4.93,4.69,4.96,4.95,4.84,4.89,,f,1,0,1,0,0.42
107,107,1050596513338100729,20241221052002,Ruhiges Schlafzimmer in Mitte,"Enjoy the simple life at this quiet and centrally located home. Here you will find not only peace and restful sleep, but also the freedom to explore the city on foot and a workspace to be productive. Share loving moments with our friendly cat who fills the home with warmth. Experience the simple and cozy life in the heart of the city.",194730533,Elisabeth,,3.0,6.0,t,t,52.51556972641772,13.422388127607883,Private room in rental unit,Private room,2,1.0,1.0,1.0,$55.00,365,3,3,365,365,3.0,365.0,,t,19,49,79,157,28,28,2,4.79,4.75,4.68,4.61,4.75,4.93,4.54,01/Z/AZ/016025-23,f,1,0,1,0,2.36
108,108,51687795,20241221052002,"Modern, cozy room in an 60m^2 apartment with TV","28 m^2 bedroom in Berlin-Schoneweide, very close to HTW Berlin. 2 mins walk to Tram/Metro station, TV with Netflix + Amazon Prime, Fast wifi and Wlan. Including electricity + water. There is a working space also with a comfy chair.  <br /><br />Apartment is close with 5 supermarkets (Lidl, Edeka, Kaufland, Penny, REWE) within 1-10 mins walk and 20 mins to Berlin Brandenburg Airport.<br /><br />only longer stays for residential purposes of 3 months or more. Anmeldung not possible.",106568150,Azka,f,1.0,6.0,t,t,52.461651,13.518462,Private room in rental unit,Private room,2,1.0,1.0,,$59.00,1125,92,92,1125,1125,92.0,1125.0,,t,30,60,90,365,3,0,0,5.0,5.0,4.67,5.0,5.0,4.0,5.0,,f,1,0,1,0,0.07
113,113,920373263492137237,20241221052002,Vermietung 1 Zimmer mit Balkon,Relax with the whole family at this peaceful place.,179695372,Hakim,f,1.0,2.0,f,t,52.5429813,13.1646175,Private room in home,Private room,1,1.0,1.0,2.0,$49.00,365,92,92,365,365,92.0,365.0,,t,30,60,90,180,0,0,0,,,,,,,,,f,1,0,1,0,
115,115,42420636,20241221052002,Komfort Zimmer im Hotel Brandies Berlin nahe Messe,The Brandies is a 3-star superior city hotel in the City West with a lot of Berlin style. Sleep quietly in our comfort rooms with views of the garden or in our Kaiserdamm rooms with views of the radio tower. Our old building rooms are large with high stucco ceilings and modernly furnished.<br /><br />Our reception is open 24 hours. Christmas and New Year limited opening hours (please contact the hotel): Free parking is possible at Kaiserdamm.,337659501,Tanja,t,4.0,4.0,t,t,52.51036,13.2807,Room in boutique hotel,Private room,2,1.0,1.0,1.0,$113.00,1,1,1,1,1,1.0,1.0,,t,25,47,71,263,4,2,0,4.75,4.0,4.75,4.5,4.25,5.0,4.75,"Legal entity name and Legal form: Sibylle Korbmacher <br/>Legal representatives or Trade register number: Sibylle Korbmacher <br/> Entity address: Kaiserdamm 27, 14057, Berlin, Deutschland <br/>Listing address: Kaiserdamm 27, 14057, Berlin, Deutschland",t,4,0,4,0,0.11
116,116,979329701767681454,20241221052002,"14qm, in einer Wohnung mit exotischen Flair.","You have access to a room with 14 square meters for your own use. A shelf, a table and a sofa bed are available.<br /><br />In addition, a smart TV is available,<br />Connection via Chromecast.<br /><br />I explicitly point out that there is a terrarium with snakes in the apartment. Not in the room that is available <br />There is also a dog and a cat living here.<br />Kitchen and bathroom are  also available.",180368915,Jessica,t,1.0,1.0,t,t,52.44902219999999,13.3150047,Private room in rental unit,Private room,1,1.0,1.0,1.0,$58.00,31,1,2,1125,1125,1.6,1125.0,,t,15,45,75,265,17,13,0,4.71,4.94,4.71,4.94,4.82,4.41,4.65,"First name and Last name: Jessica Brauner  <br/> Contact address: Hindenburgdamm 73 , 12203, Berlin, Deutschland  <br/>Listing address: Hindenburgdamm 73 , 12203, Berlin , Deutschland ",f,1,0,1,0,1.13
117,117,11922402,20241221052002,Gemütliches gr. Dachgeschossappartment,"Room is also rented for individual. 2.-3. person for extra charge. <br />Accommodation of the 3rd in a smaller adjoining room. Child discounted. Both rooms are bright and sunny, with 2 roof windows each and balcony door to the shared balcony. <br /><br />Guests from both rooms share 1 bathroom with  sink, shower, toilet, washing machine. <br /><br />Please only use the washing machine in advance.<br /><br />Only to German-speaking guests. Only german speaking guests, please.",57781837,Sonja,t,1.0,2.0,t,t,52.52915,13.16387,Private room in rental unit,Private room,3,1.0,2.0,2.0,$49.00,14,3,3,14,14,3.0,14.0,,t,17,47,77,77,34,7,0,4.74,4.88,4.88,4.97,4.88,4.62,4.79,05/Z/AZ/007176-19,f,1,0,1,0,0.33
119,119,53139887,20241221052002,Comfort Single Room | Hotel Spree-idyll Berlin,Our single rooms offer more comfort with their extra wide beds. Most single rooms are on the ground floor with direct access from the outside and a small terrace. One room is on the first floor. Many guests choose the comfort of a double room for single use when they travel alone. It gives them more comfort and space. Please check for our reduced rates on double rooms for single use.,430024205,Hotel Spree-Idyll,f,5.0,7.0,t,t,52.4488,13.60931,Room in hotel,Private room,1,1.0,0.0,1.0,$99.00,21,1,3,21,21,1.2,21.0,,t,27,51,81,338,0,0,0,,,,,,,,"Legal entity name and Legal form: Familie Kupfer Hotelbetriebs GmbH <br/>Legal representatives or Trade register number: HRB 178098 B <br/> Entity address: Müggelseedamm 70, 12587, Berlin, Deutschland <br/>Listing address: Müggelseedamm, 70, 12587, Berlin, Deutschland",t,5,0,5,0,
