,Unnamed: 0,id,scrape_id,name,description,host_id,host_name,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
36,36,48745871,20241221052002,Schöne Apartments zentral in Berlin 2-3 Personen,"The apartments are located in the middle of Berlin's historic center, right at Checkpoint Charlie. In a quiet side street and modernly furnished, with air conditioning, flat screen TV, safe and free Wi-Fi. All apartments are equipped with en-suite bathroom and kitchenette. A weekly cleaning is included in the price and a delicious breakfast can be booked on site for a small extra charge. City tax of 5% per person will be charged on site.",392212504,Select The Wall,f,2.0,3.0,t,t,52.507736,13.388472,Room in hotel,Private room,3,1.0,1.0,3.0,$170.00,1125,1,2,999,1125,1.0,1121.0,,t,0,0,0,0,34,0,0,4.53,4.59,4.91,4.47,4.12,4.97,4.56,"Legal entity name and Legal form: Novum Hotels Berlin GmbH  <br/>Legal representatives or Trade register number: HRB 100582 B <br/> Entity address: An der Alster 63, 20099, Hamburg, Deutschland <br/>Listing address: Zimmerstraße 88, 10117, Berlin, Deutschland",t,2,0,2,0,0.82
37,37,1284004661358235112,20241221052002,"Blueground | Prenzlauer Berg, furnished & equipped","Show up and start living from day one in Berlin with this sophisticated two bedroom Blueground apartment. You’ll love coming home to this thoughtfully furnished, beautifully designed, and fully-equipped Prenzlauer Berg home . (ID #BER337)",434485440,Blueground,f,322.0,325.0,t,t,52.5316459,13.4212044,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,$135.00,1125,92,334,1125,1125,96.4,1125.0,,t,0,0,0,265,0,0,0,,,,,,,,,t,318,318,0,0,
50,50,21038831,20241221052002,Vintage Vibes: Spacious 4-Room Apartment in Mitte,"Escape the city bustle and experience the quiet and serenity of this minimal home in Berlin Mitte:<br />- Peaceful 4-room apartment with 3 bedrooms and a balcony<br />- Finished in a serene monochromatic beige palette<br />- Furnished with curated furniture that have a story to tell<br />- In Scheunenviertel, Berlin's most charismatic neighborhood<br />- 3-minute-walk to two U-Bahn stations (U2 and U5)<br />- Steps away from Hackescher Markt and Museum Island",12360,Michael,t,21.0,21.0,t,t,52.52431,13.40961,Entire rental unit,Entire home/apt,6,1.0,3.0,3.0,$114.00,1125,92,92,1125,1125,92.0,1125.0,,t,0,0,0,95,4,0,0,4.75,5.0,4.5,4.75,5.0,5.0,4.5,,f,21,21,0,0,0.05
55,55,13069376,20241221052002,Flat in Prenzlauer Berg for Families in Berlin,"Perfect flat to visit  Berlin as a couple. 1 beautiful quiet bedroom with view to the green backyard and 1,80x2m french bed, open living room - kitchen - dining area. Big bath room.  Situated in trendy Prenzlauer Berg with shopping & dining areas nearby as well as beautiful parks and markets. 10min walking distance to Hackescher Markt / Alexander Platz, 10min bus ride to Brandenburger Tor. Serviced by professional cleaner before & after your stay. Coffee, tea, milk, oat milk, pasta paesto incl.",1427952,Tomas,t,1.0,1.0,t,t,52.53143,13.41997,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,$138.00,365,2,2,365,365,2.0,365.0,,t,4,4,4,4,40,15,0,4.95,4.93,4.9,4.9,5.0,4.98,4.8,03/Z/AZ/007763-23,f,1,1,0,0,1.36
64,64,912184631493246609,20241221052002,"Blueground | Prenzlauer Berg, nr Wasserturm","Discover the best of Berlin, with this three bedroom apartment in Prenzlauer Berg. . It’ll be easy to simply show up and start living in this modernly Blueground furnished apartment with its fully-equipped kitchen, lovely living room, and our dedicated, on-the-ground support. (ID #BER172)",434485440,Blueground,f,322.0,325.0,t,t,52.5347581,13.4258536,Entire rental unit,Entire home/apt,6,1.5,3.0,3.0,$177.00,1125,92,334,1125,1125,96.4,1125.0,,t,0,0,0,264,0,0,0,,,,,,,,"Legal entity name and Legal form: BLUEGROUND GERMANY GmbH <br/>Legal representatives or Trade register number: HRB 232347 B <br/> Entity address: Stresemannstraße 123, 10963, Berlin, Germany <br/>Listing address: Winsstraße 53, 10405, Berlin, Germany",t,318,318,0,0,
72,72,693875439205002933,20241221052002,Berlin Flower's | Suite L with sofa bed,"At limehome, we believe that everyone deserves a better place while traveling. A place to look forward to return to. A place designed to stay®. Whether you are looking for a home away from home or a quiet place to work - our apartments feature high-quality fittings including a premium hotel bed for restful nights & suite dreams. Our digital-enabled guest journey without a physical reception and staff on-site makes your stay more convenient.",418270816,Limehome,f,833.0,928.0,t,t,52.52713,13.407718,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,$133.00,365,1,1,180,999,1.0,732.2,,t,6,21,47,302,10,8,1,4.8,5.0,4.9,5.0,4.7,4.8,4.4,"Legal entity name and Legal form: Peter & Peter Boarding House Mitte GmbH <br/>Legal representatives or Trade register number: HRB 268344 <br/> Entity address: Rosenheimer Str. 143 A-D, 81671, München, Germany <br/>Listing address: 1 Mulackstraße , 10119, Berlin, Germany",t,72,72,0,0,0.45
73,73,638929182228409025,20241221052002,colorful apartment near vibrant Boxhagener Platz,"Welcome home in Friedrichshain! Our 58 square meter entire apartment is colorfully renovated, with a light & bright open kitchen/living room, high ceilings, modern furnishings & two separate bedrooms. While on a quieter street, it is minutes from the restaurants/cafes, art & nightlife of Simon Dach Kiez or Boxhagener Platz popular weekend markets. Attractions close by are the Spree riverfront, Eastside Gallery & Mercedes-Benz Arena. We are accessibility friendly, located on the ground floor.",9431809,Remy,t,1.0,1.0,t,t,52.50779,13.46144,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,$122.00,30,2,4,1125,1125,4.0,1125.0,,t,18,38,64,134,113,48,3,4.92,4.91,4.87,4.89,4.93,4.86,4.73,02/Z/AZ/015427-22,f,1,1,0,0,3.98
75,75,1091884435587099503,20241221052002,URBAN FLATS Berlin | Flat No. 201 | City Center,"Welcome to URBAN FLATS Berlin!<br /><br />Experience the capital in our modern and cozy apartment in the heart of Berlin Mitte. Our apartments are in the best location to explore the famous sights such as the Brandenburg Gate, Alexanderplatz and the beautiful Museum Island. Many authentic restaurants and shops can be found right outside the door. The connection with the public transportation is optimal.",546288100,Douglas,f,44.0,46.0,t,t,52.52439,13.39851,Entire rental unit,Entire home/apt,4,1.0,0.0,2.0,$199.00,365,1,2,1125,1125,2.0,1125.0,,t,21,38,61,67,40,40,3,4.7,4.8,4.78,4.78,4.85,4.93,4.55,"First name and Last name: URBAN FLATS BErlin <br/> Contact address: Ringbahnstraße 2-14, 12051, Berlin, Deutschland <br/>Listing address: Oranienburger Str. 11, 10178, Berlin, Deutschland",t,44,44,0,0,3.97
76,76,810670224553529712,20241221052002,"Blueground | Prenzlauer Berg, nr Mauerpark Volksp.","Discover the best of Berlin, with this one bedroom apartment in Prenzlauer Berg. with balcony views over the city. It’ll be easy to simply show up and start living in this beautifully Blueground furnished apartment with its fully-equipped kitchen, cozy living room, and our dedicated, on-the-ground support. (ID #BER139)",434485440,Blueground,f,322.0,325.0,t,t,52.5350755,13.4267712,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,$112.00,1125,92,92,1125,1125,92.0,1125.0,,t,0,0,0,0,0,0,0,,,,,,,,"Legal entity name and Legal form: BLUEGROUND GERMANY GmbH <br/>Legal representatives or Trade register number: HRB 232347 B <br/> Entity address: Akazienstraße 3a, 10823 Berlin, 10823, Berlin, Germany <br/>Listing address: Winsstraße 26 #12, 10405, Berlin, Germany",t,318,318,0,0,
84,84,53139932,20241221052002,Comfort Double Room | Hotel Spree-idyll Berlin,Our beautifully designed comfort double rooms have a 1.80m king size bed with two separate mattresses. In some rooms the bed can be split into two single beds for more flexibility. One room is on the ground floor with direct access from the outside. All other rooms are on the first or second floor in the main or the second building. The double rooms in our second building offer a private terrace area.,430024205,Hotel Spree-Idyll,f,5.0,7.0,t,t,52.4485,13.60912,Room in hotel,Private room,2,1.0,0.0,1.0,$110.00,21,1,3,21,21,1.2,21.0,,t,30,60,90,365,7,3,0,5.0,4.86,5.0,5.0,4.86,4.29,4.71,"Legal entity name and Legal form: Familie Kupfer Hotelbetriebs GmbH <br/>Legal representatives or Trade register number: HRB 178098 B <br/> Entity address: Müggelseedamm 70, 12587, Berlin, Deutschland <br/>Listing address: Müggelseedamm, 70, 12587, Berlin, Deutschland",t,5,0,5,0,0.34
88,88,31500359,20241221052002,"Appartement ""Hibiskus""","Exclusive living, 4 rooms, up to 14 people, luxuriously furnished holiday apartment ""Hibiscus""<br /><br />After your binding booking, you will receive an email from us with summarized information about the apartment.<br />Please note these.<br />In order to simplify your journey, we kindly ask you to contact us by phone about 2 hours before your arrival so that we can hand over the key to you.",1496069,Tim,f,15.0,15.0,t,t,52.44817,13.38651,Entire rental unit,Entire home/apt,14,2.0,3.0,11.0,$190.00,1125,1,4,22,1125,1.3,1092.7,,t,27,57,87,357,31,8,1,4.35,4.58,4.71,4.65,4.61,4.19,4.29,"Legal entity name and Legal form: PRIME Service GmbH <br/>Legal representatives or Trade register number: HRB 37328 P <br/> Entity address: Föhrenweg 1, 15831, Blankenfelde-Mahlow, Deutschland <br/>Listing address: Mariendorfer Damm 47, 12109, Berlin, Deutschland",t,15,15,0,0,0.44
94,94,777241634873454671,20241221052002,Penthouse Apartment in Berlin,"Located in a beautiful development of a listed monument, this apartment has been purpose built to cater for two or three co-living couple with two large bedroom, ample closet space, two luxurious bathrooms and an extra storage space which can also be used as a third bedroom or office.<br />The apartment stands out due to its uniquely designed interior concept which is state of the art and kitted out to a high standard. It comes fully equipped and provides all necessary amenities including internet.",25181498,Carsten,f,3.0,5.0,t,t,52.5296122,13.4062557,Entire rental unit,Entire home/apt,6,2.0,3.0,3.0,$130.00,365,96,96,365,365,96.0,365.0,,t,30,60,90,365,0,0,0,,,,,,,,,t,3,3,0,0,
96,96,975500812751010040,20241221052002,#N25 - Nice Apartment Rummelsburg,"apartment with integrated cozy bed room and big platform like a huge bunk bed. perfect for families, kids, teens and young city travellers. Kitchen, washing machine, toilet, shower, dining table, tv, free wifi. with very good connection to public transport. your are within 5min. in the city center or can have a walk to the lovely Rummelsburg bay with water, nature and boats.",2293972,Philipp,f,15.0,37.0,t,t,52.50160883066239,13.482405820287706,Entire rental unit,Entire home/apt,5,1.0,2.0,3.0,$119.00,365,1,4,365,365,1.4,365.0,,t,26,56,66,66,27,21,0,4.56,4.7,4.52,4.85,4.78,4.81,4.48,"Legal entity name and Legal form: Cityflair Berlin <br/>Legal representatives or Trade register number: Cityflair Berlin <br/> Entity address: Frankfurter Allee 26A, 10247, Berlin, Deutschland <br/>Listing address: Nöldnerstraße 25, 10317, Berlin, Deutschland",f,15,8,7,0,1.76
102,102,40610629,20241221052002,"Stylish City Loft, 3 rooms, 2 bath, 1 mezzanine","With great attention to detail, this 65 sqm loft was designed in light wood and modern design ideas and welcomes you on th ground floor with 1 living room incl. kitchen, dining area, chill area and smart TV, 2 bedrooms, 1 separable mezzanine with more sleeping space, 2 bathrooms. And all of this in a prime Friedrichshain location directly between the busy Boxhagener Straße and the central Frankfurter Allee, with the quiet green Traveplatz including a children's playground right outside the door",312525221,Andre,f,3.0,3.0,t,t,52.50855,13.47021,Entire rental unit,Entire home/apt,7,2.0,2.0,4.0,$118.00,365,2,3,365,365,3.0,365.0,,t,18,39,47,304,109,32,2,4.67,4.7,4.69,4.88,4.86,4.81,4.59,"First name and Last name: Andre Motzkus <br/> Contact address: Blücherstr. 18, 10961, Berlin, Deutschland <br/>Listing address: Jessnerstr 62, 10247, Berlin, Deutschland",t,3,3,0,0,1.78
105,105,13717143,20241221052002,central-4 bedrooms-sunny terrace-for families,"Sunny apartment at the top floor with 4 rooms to spleep in. In the eastern centre of Berlin nearby Ostkreuz & the Rummelsburger Sea: 10min to Friedrichshain/East Side Gallery, 15min to Alexanderplatz/Friedrichstraße, 20min to Potsdamer Platz.<br /><br />Four seperate bedrooms available<br /><br />- bedroom: double bed 180x200<br />- children's room: 2 single beds 90x200<br />- atelier: single matrace<br />- big living room: sofa bed 160x180<br />- child travel bed if needed<br /><br />- bathroom with window, shower & bathtub<br />- big sunny balkony",46755090,Judith,f,1.0,1.0,t,t,52.50227,13.48134,Entire rental unit,Entire home/apt,7,1.0,3.0,4.0,$180.00,1125,2,92,1125,1125,84.9,1125.0,,t,7,26,26,26,31,7,0,4.97,4.94,4.97,4.97,5.0,4.74,4.87,11/Z/AZ/003070-24,f,1,1,0,0,0.3
109,109,627993614199123614,20241221052002,"GreatStay-Koburger Str.14 VH,cosy nest for up to 4","Nestled in the heart of Berlin Schöneberg, this cozy apartment at Koburgerstr 14 Vorderhaus promises a retreat of tranquility and warmth. Spanning 45square meters, every corner of the space is thoughtfully designed to exude homeliness. As you step in, the expansive living room welcomes you, seamlessly blending with an open kitchen that's perfect for whipping up delightful meals. Whether you're curling up on the sofa or ascending to the high bed, comfort is guaranteed.",369958333,Andreas,t,2.0,3.0,t,t,52.48149871826172,13.3460693359375,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,$133.00,90,3,5,90,90,3.0,90.0,,t,18,39,54,323,35,5,0,4.57,4.74,4.66,4.77,4.49,4.6,4.29,"Legal entity name and Legal form: vermietet durch GreatStay GmbH <br/>Legal representatives or Trade register number: HRB142459B <br/> Entity address: Paul - Robeson - Str. 49, 10439, Berlin, Deutschland <br/>Listing address: Koburger Str. 14, 10825, Berlin, Deutschland",t,2,2,0,0,1.13
111,111,579662998059272323,20241221052002,Berlin City Apartment,"Safe, WiFi, Washing machine, Dishwasher, TV, and radio",437628,Oliver,t,2.0,3.0,t,t,52.48104,13.29124,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,$103.00,330,2,2,1125,1125,2.0,1125.0,,t,30,60,90,100,9,8,1,5.0,5.0,4.89,4.89,5.0,4.89,4.89,04/Z/ZA/004240-16,f,2,2,0,0,0.32
114,114,40414534,20241221052002,"*NEW* Daylight-flooded design loft, city center","Live in a daylight-flooded design loft with its own entrance from street-level consisting of 1 living room, 2 bedrooms, 1 mezzanine with sleeping option, 2 bathrooms, 2 smart TVs. The 55 sqm apartment was designed with great attention to detail in light wood and modern design ideas and is located in a prime city location directly between the lively Boxhagener Street & the central Frankfurter Allee, with the quiet, green Traveplatz including a children's playground right in front of the door",312525221,Andre,f,3.0,3.0,t,t,52.50889,13.47056,Entire rental unit,Entire home/apt,6,2.0,2.0,3.0,$138.00,365,3,3,365,365,3.0,365.0,,t,17,38,54,309,87,23,0,4.7,4.86,4.7,4.9,4.89,4.85,4.66,"First name and Last name: Andre Motzkus <br/> Contact address: Blücherstr. 18, 10961, Berlin, Deutschland <br/>Listing address: Jessnerstr 62, 10245 , Berlin, Deutschland",t,3,3,0,0,1.43
115,115,42420636,20241221052002,Komfort Zimmer im Hotel Brandies Berlin nahe Messe,The Brandies is a 3-star superior city hotel in the City West with a lot of Berlin style. Sleep quietly in our comfort rooms with views of the garden or in our Kaiserdamm rooms with views of the radio tower. Our old building rooms are large with high stucco ceilings and modernly furnished.<br /><br />Our reception is open 24 hours. Christmas and New Year limited opening hours (please contact the hotel): Free parking is possible at Kaiserdamm.,337659501,Tanja,t,4.0,4.0,t,t,52.51036,13.2807,Room in boutique hotel,Private room,2,1.0,1.0,1.0,$113.00,1,1,1,1,1,1.0,1.0,,t,25,47,71,263,4,2,0,4.75,4.0,4.75,4.5,4.25,5.0,4.75,"Legal entity name and Legal form: Sibylle Korbmacher <br/>Legal representatives or Trade register number: Sibylle Korbmacher <br/> Entity address: Kaiserdamm 27, 14057, Berlin, Deutschland <br/>Listing address: Kaiserdamm 27, 14057, Berlin, Deutschland",t,4,0,4,0,0.11
118,118,27164026,20241221052002,Ladenwohnung in Kreuzberg mit Parkplatz in Garage,The apartment is a converted former plumber shop in Kreuzberg,183372921,Hardy,t,2.0,2.0,t,t,52.49402,13.42914,Entire rental unit,Entire home/apt,5,1.5,1.0,4.0,$151.00,50,1,6,50,50,1.0,50.0,,t,23,53,83,221,455,58,2,4.93,4.93,4.88,4.96,4.94,4.93,4.76,"First name and Last name: Thomas Kappel  <br/> Contact address: Urbanstrasse 96, 10967, Berlin , Berlin  <br/>Listing address: Ohlauer Straße 31, 10999, Berlin , Berlin ",f,2,2,0,0,6.04
125,125,28218006,20241221052002,Rooms in nice house-Excellent connection to centre,"Green and quiet location near the city!  By car/train in just 15 minutes to the City West centre. Train station and bus stop 5 minutes on foot. Sleeps 5-6 people. Balcony overlooking the garden. Waldbühne, Olympiastadion, forest, riverside with beach and supermarket are within walking distance, as well as bars and restaurants.<br />In just a few stops you can reach the most famous sights such as the Kurfürstendamm, the Brandenburg Gate, the Reichstag, Checkpoint Charlie, among others.",49840372,Ana,f,1.0,4.0,t,t,52.51082,13.22754,Private room in home,Private room,5,1.5,2.0,4.0,$170.00,60,4,4,60,60,4.0,60.0,,t,0,0,0,15,14,1,0,4.0,4.21,4.21,4.57,4.36,4.93,4.0,04/Z/AZ/013430-23,f,1,0,1,0,0.2
127,127,7545423,20241221052002,Ferienwohnung an der Spree,"The apartment has recently been extensively remodeled, renovated, equipped with designer flooring and newly furnished. The modern kitchen does not miss anything. In the living room there is a cozy couch which can also be used as a sofa bed, (1.40 x 2.00 m). The bedroom is furnished with a double bed, a fold-out couch and a closet. The apartment can accommodate a maximum of 5 people. <br /><br />Please note that  5% nightly tax is payable upon arrival in cash.",39537907,Andre,f,2.0,2.0,t,t,52.52212905883789,13.345120429992676,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,$137.00,31,1,3,31,31,2.8,31.0,,t,22,47,62,290,45,6,0,4.33,4.44,4.58,4.91,4.84,4.82,4.27,"First name and Last name: André Thomas <br/> Contact address: Clementweg 23, 13137, Berlin, Deutschland  <br/>Listing address: Claudiusstr 9, 10557, Berlin, Deutschland ",t,2,2,0,0,0.41
129,129,1082444838100102050,20241221052002,Vibrant apartment,"A cosy, meticulously decorated, 60m2 apartment with two bedrooms, a bathroom and a spacious living room with a fully equipped open-plan kitchen and dining room. All of the rooms overlook a tree-lined inner courtyard, which provides the perfect conditions for a well-deserved rest after a day exploring Berlin!",265415759,Madflats,f,11.0,13.0,t,t,52.46928,13.33387,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,$186.00,365,1,5,365,365,4.3,365.0,,t,5,26,56,331,0,0,0,,,,,,,,"Legal entity name and Legal form: Immohaupt GmbH <br/>Legal representatives or Trade register number: HRB 106584 B <br/> Entity address: Schlüterstr. 17, 10625, Berlin, Deutschland <br/>Listing address: Rheinstr. 61, 12159, Berlin, Deutschland",t,11,11,0,0,
