,id,name,host_id,host_is_superhost,host_total_listings_count,host_identity_verified,longitude,room_type,bathrooms,beds,maximum_nights,maximum_minimum_nights,maximum_maximum_nights,maximum_nights_avg_ntm,has_availability,availability_60,availability_365,number_of_reviews_ltm,review_scores_rating,review_scores_cleanliness,review_scores_communication,review_scores_value,instant_bookable,calculated_host_listings_count_entire_homes,calculated_host_listings_count_shared_rooms
50,21038831,Vintage Vibes: Spacious 4-Room Apartment in Mitte,12360,t,21.0,t,13.40961,Entire home/apt,1.0,3.0,1125,92,1125,1125.0,t,0,95,0,4.75,4.5,5.0,4.5,f,21,0
51,19966464,"Beau trois-pièces vue sur parc, près Tempelhof",7299364,f,3.0,t,13.42746,Private room,,,1125,92,1125,1125.0,t,0,0,0,,,,,f,0,0
52,26343916,Urban Paradise with big terrace/next to Mauerpark,7458512,f,1.0,t,13.40361,Entire home/apt,2.5,5.0,60,7,60,60.0,t,0,158,3,4.89,5.0,4.89,4.67,f,1,0
53,16224457,Beautiful sunny loft with balcony in Mitte,20115491,f,2.0,t,13.40386,Entire home/apt,1.5,1.0,730,60,730,730.0,t,4,238,6,5.0,5.0,5.0,5.0,f,1,0
54,20448471,Private apartment close to nature and culture,14693512,f,2.0,t,13.34198,Entire home/apt,,,1125,92,1125,1125.0,t,0,0,0,4.87,4.96,5.0,4.87,f,1,0
55,13069376,Flat in Prenzlauer Berg for Families in Berlin,1427952,t,1.0,t,13.41997,Entire home/apt,1.0,1.0,365,2,365,365.0,t,4,4,15,4.95,4.9,5.0,4.8,f,1,0
56,35445340,1-Beautiful double room apartment in Schöneberg,265635773,f,20.0,t,13.34928,Entire home/apt,1.0,1.0,1125,92,1125,1125.0,t,12,308,0,5.0,5.0,5.0,5.0,f,20,0
57,44453937,Studio nahe Hauptbahnhof exkl. für Geschäftsleute,4023263,f,5.0,t,13.36086,Private room,1.0,1.0,1000,93,1000,1000.0,t,10,213,0,5.0,5.0,5.0,5.0,f,2,0
58,362874,Apartment in Neukölln/Kreuzberg,1833946,f,1.0,t,13.42255,Entire home/apt,,,1125,92,1125,1125.0,t,0,0,0,5.0,4.78,4.78,4.89,f,1,0
59,1072585204593781257,4 Zimmer-Apartment am Kurfürstendamm City Center,54039179,f,14.0,t,13.304937157069734,Entire home/apt,2.0,8.0,365,3,365,365.0,t,51,86,5,3.6,4.0,4.4,4.0,t,13,0
60,53332699,Schöne helle Wohnung in Berlin-Neukölln,8103468,f,5.0,t,13.43078,Entire home/apt,1.0,1.0,14,7,14,14.0,t,22,124,1,4.67,4.44,4.89,4.56,f,1,0
61,41330790,Cozy 1 room apartment with modern interior,271235180,f,44.0,f,13.41064,Entire home/apt,1.0,1.0,1125,92,1125,1125.0,t,0,203,0,,,,,f,40,0
62,393598,"Quiet Oasis  in ""Kreuzkölln"" 60 sqm",1968246,f,3.0,t,13.44061,Entire home/apt,,,730,180,730,730.0,t,53,83,0,4.8,4.94,4.87,4.72,f,3,0
63,822243581522669636,Schoenhouse City Street | 1-BR Suite +Balcony (LT),418270816,f,928.0,t,13.409662,Entire home/apt,1.0,1.0,365,28,999,999.0,t,52,357,0,,,,,t,72,0
64,912184631493246609,"Blueground | Prenzlauer Berg, nr Wasserturm",434485440,f,325.0,t,13.4258536,Entire home/apt,1.5,3.0,1125,334,1125,1125.0,t,0,264,0,,,,,t,318,0
65,395063,"großes, helles Zimmer in Altbauwohnung",1974695,t,2.0,t,13.46388,Private room,,,30,3,30,30.0,t,0,0,17,4.9,4.84,4.96,4.88,f,0,0
66,997675581097970644,Supreme room with en suite bath,427709,f,8.0,t,13.389444026629286,Private room,1.0,1.0,365,92,365,365.0,t,59,364,0,,,,,f,0,0
67,18846314,Welcome!,123430047,f,1.0,t,13.41851,Entire home/apt,2.0,4.0,14,3,14,14.0,t,46,76,5,4.95,4.4,4.9,4.75,f,1,0
68,4861617,Zimmer im Gräfekiez 22m²,23693478,f,1.0,t,13.41943,Private room,2.0,1.0,1125,92,1125,1125.0,t,49,354,0,4.83,4.89,4.93,4.79,f,0,0
69,19964747,Cosy room with balcony near to city centre,17801617,t,3.0,t,13.43437,Private room,,,1125,3,1125,1125.0,t,0,0,1,4.81,4.76,4.91,4.75,t,0,0
70,1419206,Private Room near City Center,7493737,t,4.0,t,13.40913,Private room,,,45,5,45,45.0,t,0,0,1,4.88,4.54,4.92,4.81,f,0,0
71,1407846,Welcome to our home :),2740485,f,2.0,t,13.37871,Private room,,,1125,92,1125,1125.0,t,0,0,0,4.81,4.65,4.91,4.72,f,0,0
72,693875439205002933,Berlin Flower's | Suite L with sofa bed,418270816,f,928.0,t,13.407718,Entire home/apt,1.0,2.0,365,1,999,732.2,t,21,302,8,4.8,4.9,4.7,4.4,t,72,0
73,638929182228409025,colorful apartment near vibrant Boxhagener Platz,9431809,t,1.0,t,13.46144,Entire home/apt,1.0,2.0,30,4,1125,1125.0,t,38,134,48,4.92,4.87,4.93,4.73,f,1,0
74,29021563,Kategorki 2A,42671030,t,9.0,t,13.40178394317627,Entire home/apt,1.0,1.0,1125,1,1125,1125.0,t,60,365,0,4.73,5.0,4.91,4.55,t,6,0
75,1091884435587099503,URBAN FLATS Berlin | Flat No. 201 | City Center,546288100,f,46.0,t,13.39851,Entire home/apt,1.0,2.0,365,2,1125,1125.0,t,38,67,40,4.7,4.78,4.85,4.55,t,44,0
76,810670224553529712,"Blueground | Prenzlauer Berg, nr Mauerpark Volksp.",434485440,f,325.0,t,13.4267712,Entire home/apt,1.0,1.0,1125,92,1125,1125.0,t,0,0,0,,,,,t,318,0
77,45802199,Amazing apartment by P&M in Prenzlauer Berg,163315280,f,5.0,t,13.41635,Entire home/apt,1.0,2.0,1125,2,1125,1125.0,t,50,355,51,4.81,4.76,4.84,4.58,t,5,0
78,633358953046617200,100qm Arty Loft in Prenzlauer Berg (S-Ringbahn),2573238,f,5.0,t,13.414815,Entire home/apt,1.0,2.0,365,93,365,365.0,t,0,151,0,,,,,f,1,0
79,42671758,Super clean Room in Steglitz . Very central,198864678,f,2.0,t,13.34544,Private room,1.5,1.0,1125,1,1125,1125.0,t,57,362,0,,,,,f,0,0
80,1246168783031621220,Unique Penthouse in center,27816679,t,4.0,f,13.40305939464763,Entire home/apt,1.0,2.0,365,3,365,365.0,t,60,365,2,5.0,5.0,5.0,5.0,f,2,0
81,30059792,Ruhe Oase in Berlin Mitte - Luxus Apartment,22257295,f,4.0,t,13.38594,Shared room,1.0,1.0,7,1,7,7.0,t,60,365,0,5.0,5.0,5.0,5.0,f,0,1
82,1068808508269736172,Vorheriges Elternschlafzimmer D,4475104,f,6.0,t,13.512912778650977,Private room,1.5,1.0,365,30,365,365.0,t,0,90,1,5.0,4.0,5.0,5.0,f,0,0
83,693908961072120349,Berlin Prenzlauer Allee | Queen Room,418270816,f,928.0,t,13.418211,Entire home/apt,1.0,1.0,365,1,999,732.2,t,56,357,9,4.75,4.71,4.68,4.75,t,72,0
84,53139932,Comfort Double Room | Hotel Spree-idyll Berlin,430024205,f,7.0,t,13.60912,Private room,1.0,1.0,21,3,21,21.0,t,60,365,3,5.0,5.0,4.86,4.71,t,0,0
85,11429575,2-room apartment with terrace,1275576,t,6.0,t,13.30239,Entire home/apt,1.0,1.0,1125,13,1125,1125.0,t,20,219,29,4.65,4.54,4.91,4.74,t,6,0
86,4679825,Flat 3,16079116,f,13.0,t,13.42365,Entire home/apt,1.0,0.0,600,7,600,600.0,t,59,364,0,4.17,4.15,4.52,4.2,f,8,0
87,1285344109833476395,Stylish Studio in Berlin Mitte,5901886,f,4.0,t,13.407022850214108,Entire home/apt,1.0,1.0,365,80,1125,1125.0,t,11,316,0,,,,,f,1,0
88,31500359,"Appartement ""Hibiskus""",1496069,f,15.0,t,13.38651,Entire home/apt,2.0,11.0,1125,4,1125,1092.7,t,57,357,8,4.35,4.71,4.61,4.29,t,15,0
89,12334987,Modern Apartment in best location,66576238,t,1.0,t,13.30992,Private room,1.0,1.0,14,2,14,14.0,t,16,250,34,4.96,5.0,4.93,4.95,f,0,0
90,1193121266084445405,Familienfreundliche Unterkunft,36029055,f,1.0,t,13.312072628955086,Entire home/apt,1.0,1.0,4,1,4,4.0,t,2,2,3,5.0,5.0,5.0,5.0,f,1,0
91,1101465952016111173,3 Rooms Apt. City Center Fischerinsel Mitte 6 Pers,563418004,t,8.0,t,13.40172,Entire home/apt,1.0,6.0,365,3,1125,1125.0,t,42,153,23,4.96,4.96,4.91,4.83,f,8,0
92,23623112,Zentrale Ferienwohnung am See,176750828,t,1.0,t,13.20029,Entire home/apt,1.0,4.0,1125,2,1125,1125.0,t,44,158,13,4.75,4.9,4.78,4.5,f,1,0
93,535415314007589795,Great Apartment close to Kudamm,186634753,f,6.0,f,13.29629,Entire home/apt,1.0,3.0,365,3,365,365.0,t,26,331,36,4.37,4.26,4.66,4.32,t,3,0
94,777241634873454671,Penthouse Apartment in Berlin,25181498,f,5.0,t,13.4062557,Entire home/apt,2.0,3.0,365,96,365,365.0,t,60,365,0,,,,,t,3,0
95,756352772362461087,Süße Yoga /Sauna Whg.  in ruh. Bauhaus Denkm.,408160754,t,2.0,f,13.5592809,Entire home/apt,1.0,3.0,100,26,1125,1125.0,t,52,52,10,4.96,4.85,4.96,4.88,f,1,0
96,975500812751010040,#N25 - Nice Apartment Rummelsburg,2293972,f,37.0,t,13.482405820287706,Entire home/apt,1.0,3.0,365,4,365,365.0,t,56,66,21,4.56,4.52,4.78,4.48,f,8,0
97,27869754,Bright Loft apartment city center Berlin Ku'damm,210291317,f,16.0,t,13.34275,Entire home/apt,1.0,1.0,1125,4,1125,1125.0,t,55,92,17,4.34,4.32,4.54,4.34,t,8,0
98,38766599,Studio Apartment nahe Tempelhofer Hafen,8912086,f,52.0,t,13.37759,Entire home/apt,1.0,2.0,180,30,180,180.0,t,46,76,3,4.71,4.71,5.0,4.71,f,49,0
99,686895881559760850,Schöne möblierte Zweizimmerwohnung,452544785,t,4.0,t,13.38171,Entire home/apt,1.0,2.0,365,92,1125,1125.0,t,0,173,0,,,,,t,4,0
100,22694360,"House with garden, pool and sauna for families",167319423,f,2.0,t,13.32002,Entire home/apt,2.5,7.0,1125,4,1125,1125.0,t,0,111,0,4.67,3.67,5.0,4.67,f,1,0
101,47791220,10 Minuten von Hauptbahnhof zu Fuß+Berlin Zentral,385197336,t,1.0,t,13.35536,Private room,1.0,1.0,30,1,1125,1125.0,t,49,79,15,4.86,4.66,4.84,4.78,t,0,0
102,40610629,"Stylish City Loft, 3 rooms, 2 bath, 1 mezzanine",312525221,f,3.0,t,13.47021,Entire home/apt,2.0,4.0,365,3,365,365.0,t,39,304,32,4.67,4.69,4.86,4.59,t,3,0
103,9068447,Beautiful room in Neukölln's heart,29054247,f,3.0,t,13.43734,Private room,,,1125,92,1125,1125.0,t,0,0,0,4.93,4.69,4.95,4.89,f,0,0
104,1090023481575463540,Wunderschöne Berliner 3-Raum Designer-Wohnung,43938328,f,3.0,t,13.34587,Entire home/apt,1.0,2.0,365,92,365,365.0,t,46,351,1,5.0,5.0,5.0,5.0,f,2,0
105,13717143,central-4 bedrooms-sunny terrace-for families,46755090,f,1.0,t,13.48134,Entire home/apt,1.0,4.0,1125,92,1125,1125.0,t,26,26,7,4.97,4.97,5.0,4.87,f,1,0
106,48154397,Lovely Apartment Kompakt,16079116,f,13.0,t,13.42335,Entire home/apt,1.0,1.0,1125,7,1125,1125.0,t,60,365,1,4.29,4.0,4.62,4.12,f,8,0
107,1050596513338100729,Ruhiges Schlafzimmer in Mitte,194730533,,6.0,t,13.422388127607883,Private room,1.0,1.0,365,3,365,365.0,t,49,157,28,4.79,4.68,4.75,4.54,f,0,0
108,51687795,"Modern, cozy room in an 60m^2 apartment with TV",106568150,f,6.0,t,13.518462,Private room,1.0,,1125,92,1125,1125.0,t,60,365,0,5.0,4.67,5.0,5.0,f,0,0
109,627993614199123614,"GreatStay-Koburger Str.14 VH,cosy nest for up to 4",369958333,t,3.0,t,13.3460693359375,Entire home/apt,1.0,1.0,90,5,90,90.0,t,39,323,5,4.57,4.66,4.49,4.29,t,2,0
110,1031289309407368307,Cosy flat in Tempelhof,7019419,t,3.0,t,13.37707,Entire home/apt,1.0,1.0,5,2,5,5.0,t,48,252,21,5.0,4.86,5.0,5.0,f,1,0
111,579662998059272323,Berlin City Apartment,437628,t,3.0,t,13.29124,Entire home/apt,1.0,2.0,330,2,1125,1125.0,t,60,100,8,5.0,4.89,5.0,4.89,f,2,0
112,16237757,Interior Design 3 - Bedroom Apartment with Balcony,3003519,t,33.0,t,13.32688,Entire home/apt,1.0,4.0,1125,2,1125,1125.0,t,19,289,16,4.91,4.94,4.96,4.82,t,31,0
113,920373263492137237,Vermietung 1 Zimmer mit Balkon,179695372,f,2.0,t,13.1646175,Private room,1.0,2.0,365,92,365,365.0,t,60,180,0,,,,,f,0,0
114,40414534,"*NEW* Daylight-flooded design loft, city center",312525221,f,3.0,t,13.47056,Entire home/apt,2.0,3.0,365,3,365,365.0,t,38,309,23,4.7,4.7,4.89,4.66,t,3,0
115,42420636,Komfort Zimmer im Hotel Brandies Berlin nahe Messe,337659501,t,4.0,t,13.2807,Private room,1.0,1.0,1,1,1,1.0,t,47,263,2,4.75,4.75,4.25,4.75,t,0,0
116,979329701767681454,"14qm, in einer Wohnung mit exotischen Flair.",180368915,t,1.0,t,13.3150047,Private room,1.0,1.0,31,2,1125,1125.0,t,45,265,13,4.71,4.71,4.82,4.65,f,0,0
117,11922402,Gemütliches gr. Dachgeschossappartment,57781837,t,2.0,t,13.16387,Private room,1.0,2.0,14,3,14,14.0,t,47,77,7,4.74,4.88,4.88,4.79,f,0,0
118,27164026,Ladenwohnung in Kreuzberg mit Parkplatz in Garage,183372921,t,2.0,t,13.42914,Entire home/apt,1.5,4.0,50,6,50,50.0,t,53,221,58,4.93,4.88,4.94,4.76,f,2,0
119,53139887,Comfort Single Room | Hotel Spree-idyll Berlin,430024205,f,7.0,t,13.60931,Private room,1.0,1.0,21,3,21,21.0,t,51,338,0,,,,,t,0,0
120,722215535729534502,Spacious 1-bedroom Loft in former Warehouse,7349296,f,1.0,t,13.36332,Entire home/apt,1.0,1.0,1125,30,1125,1125.0,t,21,326,0,,,,,f,1,0
121,952308022621257166,Quite and comfortable room,83676294,f,2.0,t,13.362391115880923,Private room,1.5,1.0,365,3,365,365.0,t,0,169,0,4.67,4.67,4.67,4.67,f,0,0
122,33389721,Großes Zimmer in ruhiger Familienwohnung,99824320,f,1.0,t,13.44234,Private room,1.0,1.0,1125,3,1125,1125.0,t,7,7,1,4.58,4.33,4.88,4.61,t,0,0
123,4642736,Living@Solarhaus- Solarenergy  4U CO2 Footstep,24037323,f,4.0,t,13.41464,Private room,2.0,1.0,360,190,360,360.0,t,53,358,0,5.0,5.0,5.0,5.0,f,1,0
124,14692920,MC503 - rooftop apartment - best public transport,2293972,f,37.0,t,13.50501,Entire home/apt,1.0,3.0,360,3,360,360.0,t,60,70,4,4.63,4.73,4.79,4.63,f,8,0
125,28218006,Rooms in nice house-Excellent connection to centre,49840372,f,4.0,t,13.22754,Private room,1.5,4.0,60,4,60,60.0,t,0,15,1,4.0,4.21,4.36,4.0,f,0,0
126,838177064849804054,Sauber und gemütlich - Zentrale Lage am U-Bahnhof,106694332,f,8.0,t,13.3183193,Private room,3.0,1.0,180,5,1125,1125.0,t,40,340,2,4.0,4.0,4.33,4.33,f,0,0
127,7545423,Ferienwohnung an der Spree,39537907,f,2.0,t,13.345120429992676,Entire home/apt,1.0,2.0,31,3,31,31.0,t,47,290,6,4.33,4.58,4.84,4.27,t,2,0
128,1232407670519280496,Sunny apartment with a balcony,32508277,f,3.0,t,13.4679,Private room,1.0,3.0,90,28,90,90.0,t,35,208,0,,,,,f,0,0
129,1082444838100102050,Vibrant apartment,265415759,f,13.0,t,13.33387,Entire home/apt,1.0,1.0,365,5,365,365.0,t,26,331,0,,,,,t,11,0
130,672183105867055977,Zimmer #3 - Family Zimmer Hotel Bregenz,468179275,f,8.0,t,13.31433,Private room,1.0,2.0,365,1,999,999.0,t,44,315,5,4.57,4.71,4.86,4.5,t,0,0
131,837540304896394526,Waterside Cabin,503360511,f,1.0,t,13.16012102929534,Entire home/apt,1.0,1.0,1125,3,1125,1125.0,t,12,182,20,4.73,4.9,4.93,4.23,t,1,0
132,988865069359139315,Grüne Oase Nähe Stadtzentrum,65023990,f,1.0,t,13.4909282,Entire home/apt,2.0,4.0,8,3,8,8.0,t,0,19,2,5.0,5.0,5.0,5.0,f,1,0
133,11538198,Studio Apartment direkt am Kudamm,8912086,f,52.0,t,13.3248,Entire home/apt,1.0,1.0,180,30,180,180.0,t,58,88,4,4.41,4.41,4.47,4.06,f,49,0
134,11685579,"Inner-city, quiet & calm w/ balcony",21374722,f,1.0,t,13.44505,Private room,,,1125,92,1125,1125.0,t,0,0,0,4.5,4.5,5.0,4.0,f,0,0
135,14306417,Lichtdurchflutete 2-Zimmer-Whg in Baumschulenweg,80861390,f,1.0,t,13.48825,Entire home/apt,1.0,2.0,35,6,35,35.0,t,58,77,5,4.9,4.77,4.97,4.7,f,1,0
136,898370608173991263,"Blueground | Prenzlauer Berg, nr Winsviertel",434485440,f,325.0,t,13.4349094,Entire home/apt,1.0,1.0,1125,335,1125,1125.0,t,0,231,0,,,,,t,318,0
137,880158390857828347,Family Friendly Flat in the Heart of Alt-Köpenick,238667700,f,1.0,t,13.577246484655785,Entire home/apt,1.0,3.0,350,95,350,350.0,t,53,358,0,,,,,f,1,0
138,51538388,gemütliches Zimmer in Berlin,189712516,f,1.0,t,13.46957,Private room,1.0,1.0,365,2,1125,1125.0,t,37,342,0,4.88,4.89,4.83,4.81,f,0,0
